[01] L01/answerable: ANOMALY: Command '['/opt/anaconda3/bin/python', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/lane1a_runner.py', '--manifest', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/manifests/L01.json', '--output-dir', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/raw', '--output-prefix', 'LANE1A-L01-answerable', '--stratum', 'answerable', '--rung-id', 'L01']' returned non-zero exit status 1.
[12] L03/null_mirror: ANOMALY: Command '['/opt/anaconda3/bin/python', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/lane1a_runner.py', '--manifest', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/manifests/L03.json', '--output-dir', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/raw', '--output-prefix', 'LANE1A-L03-null_mirror', '--stratum', 'null_mirror', '--rung-id', 'L03']' returned non-zero exit status 1.
[13] L04/answerable: ANOMALY: Command '['/opt/anaconda3/bin/python', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/lane1a_runner.py', '--manifest', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/manifests/L04.json', '--output-dir', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/raw', '--output-prefix', 'LANE1A-L04-answerable', '--stratum', 'answerable', '--rung-id', 'L04']' returned non-zero exit status 1.
[14] L04/null: ANOMALY: Command '['/opt/anaconda3/bin/python', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/lane1a_runner.py', '--manifest', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/manifests/L04.json', '--output-dir', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/raw', '--output-prefix', 'LANE1A-L04-null', '--stratum', 'null', '--rung-id', 'L04']' returned non-zero exit status 1.
[15] L04/answerable_mirror: ANOMALY: Command '['/opt/anaconda3/bin/python', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/lane1a_runner.py', '--manifest', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/manifests/L04.json', '--output-dir', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/raw', '--output-prefix', 'LANE1A-L04-answerable_mirror', '--stratum', 'answerable_mirror', '--rung-id', 'L04']' returned non-zero exit status 1.
[16] L04/null_mirror: ANOMALY: Command '['/opt/anaconda3/bin/python', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/lane1a_runner.py', '--manifest', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/manifests/L04.json', '--output-dir', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/raw', '--output-prefix', 'LANE1A-L04-null_mirror', '--stratum', 'null_mirror', '--rung-id', 'L04']' returned non-zero exit status 1.
[17] L05/answerable: ANOMALY: Command '['/opt/anaconda3/bin/python', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/lane1a_runner.py', '--manifest', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/manifests/L05.json', '--output-dir', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/raw', '--output-prefix', 'LANE1A-L05-answerable', '--stratum', 'answerable', '--rung-id', 'L05']' returned non-zero exit status 1.
[18] L05/null: ANOMALY: Command '['/opt/anaconda3/bin/python', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/lane1a_runner.py', '--manifest', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/manifests/L05.json', '--output-dir', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/raw', '--output-prefix', 'LANE1A-L05-null', '--stratum', 'null', '--rung-id', 'L05']' returned non-zero exit status 1.
[19] L05/answerable_mirror: ANOMALY: Command '['/opt/anaconda3/bin/python', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/lane1a_runner.py', '--manifest', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/manifests/L05.json', '--output-dir', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/raw', '--output-prefix', 'LANE1A-L05-answerable_mirror', '--stratum', 'answerable_mirror', '--rung-id', 'L05']' returned non-zero exit status 1.
[20] L05/null_mirror: ANOMALY: Command '['/opt/anaconda3/bin/python', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/lane1a_runner.py', '--manifest', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/manifests/L05.json', '--output-dir', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/raw', '--output-prefix', 'LANE1A-L05-null_mirror', '--stratum', 'null_mirror', '--rung-id', 'L05']' returned non-zero exit status 1.
[21] L06/answerable: ANOMALY: Command '['/opt/anaconda3/bin/python', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/lane1a_runner.py', '--manifest', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/manifests/L06.json', '--output-dir', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/raw', '--output-prefix', 'LANE1A-L06-answerable', '--stratum', 'answerable', '--rung-id', 'L06']' returned non-zero exit status 1.
[22] L06/null: ANOMALY: Command '['/opt/anaconda3/bin/python', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/lane1a_runner.py', '--manifest', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/manifests/L06.json', '--output-dir', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/raw', '--output-prefix', 'LANE1A-L06-null', '--stratum', 'null', '--rung-id', 'L06']' returned non-zero exit status 1.
[23] L06/answerable_mirror: ANOMALY: Command '['/opt/anaconda3/bin/python', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/lane1a_runner.py', '--manifest', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/manifests/L06.json', '--output-dir', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/raw', '--output-prefix', 'LANE1A-L06-answerable_mirror', '--stratum', 'answerable_mirror', '--rung-id', 'L06']' returned non-zero exit status 1.
[24] L06/null_mirror: ANOMALY: Command '['/opt/anaconda3/bin/python', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/lane1a_runner.py', '--manifest', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/manifests/L06.json', '--output-dir', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/raw', '--output-prefix', 'LANE1A-L06-null_mirror', '--stratum', 'null_mirror', '--rung-id', 'L06']' returned non-zero exit status 1.
[25] L07/answerable: ANOMALY: Command '['/opt/anaconda3/bin/python', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/lane1a_runner.py', '--manifest', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/manifests/L07.json', '--output-dir', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/raw', '--output-prefix', 'LANE1A-L07-answerable', '--stratum', 'answerable', '--rung-id', 'L07']' returned non-zero exit status 1.
[26] L07/null: ANOMALY: Command '['/opt/anaconda3/bin/python', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/lane1a_runner.py', '--manifest', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/manifests/L07.json', '--output-dir', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/raw', '--output-prefix', 'LANE1A-L07-null', '--stratum', 'null', '--rung-id', 'L07']' returned non-zero exit status 1.
[27] L07/answerable_mirror: ANOMALY: Command '['/opt/anaconda3/bin/python', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/lane1a_runner.py', '--manifest', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/manifests/L07.json', '--output-dir', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/raw', '--output-prefix', 'LANE1A-L07-answerable_mirror', '--stratum', 'answerable_mirror', '--rung-id', 'L07']' returned non-zero exit status 1.
[28] L07/null_mirror: ANOMALY: Command '['/opt/anaconda3/bin/python', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/lane1a_runner.py', '--manifest', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/manifests/L07.json', '--output-dir', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/raw', '--output-prefix', 'LANE1A-L07-null_mirror', '--stratum', 'null_mirror', '--rung-id', 'L07']' returned non-zero exit status 1.
[29] L08/answerable: ANOMALY: Command '['/opt/anaconda3/bin/python', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/lane1a_runner.py', '--manifest', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/manifests/L08.json', '--output-dir', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/raw', '--output-prefix', 'LANE1A-L08-answerable', '--stratum', 'answerable', '--rung-id', 'L08']' returned non-zero exit status 1.
[30] L08/null: ANOMALY: Command '['/opt/anaconda3/bin/python', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/lane1a_runner.py', '--manifest', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/manifests/L08.json', '--output-dir', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/raw', '--output-prefix', 'LANE1A-L08-null', '--stratum', 'null', '--rung-id', 'L08']' returned non-zero exit status 1.
